           Time             nu             p1             p2           varL             q1             q2
----------------------------------------
       0.000000       0.001079      -0.000000       0.000120       6.283185       0.000000      -3.172909
      50.000000       0.001079       0.000023       0.000120       6.337226      -0.000000      -3.172916
     100.000000       0.001079       0.000046       0.000118       6.391269      -0.000003      -3.172945
     150.000000       0.001079       0.000068       0.000115       6.445313      -0.000009      -3.172993
     200.000000       0.001079       0.000090       0.000110       6.499360      -0.000022      -3.173061
     250.000000       0.001079       0.000112       0.000105       6.553412      -0.000044      -3.173148
     300.000000       0.001079       0.000133       0.000098       6.607467      -0.000076      -3.173251
     350.000000       0.001079       0.000153       0.000091       6.661528      -0.000120      -3.173371
     400.000000       0.001079       0.000172       0.000083       6.715594      -0.000178      -3.173506
     450.000000       0.001079       0.000189       0.000074       6.769667      -0.000251      -3.173654
     500.000000       0.001079       0.000206       0.000065       6.823745      -0.000341      -3.173814
     550.000000       0.001079       0.000220       0.000055       6.877831      -0.000449      -3.173983
     600.000000       0.001079       0.000233       0.000046       6.931924      -0.000576      -3.174160
     650.000000       0.001079       0.000245       0.000037       6.986024      -0.000722      -3.174343
     700.000000       0.001079       0.000255       0.000027       7.040132      -0.000889      -3.174529
     750.000000       0.001079       0.000264       0.000019       7.094248      -0.001076      -3.174717
     800.000000       0.001079       0.000271       0.000010       7.148373      -0.001284      -3.174904
     850.000000       0.001079       0.000278       0.000002       7.202505      -0.001513      -3.175089
     900.000000       0.001079       0.000283      -0.000005       7.256646      -0.001762      -3.175268
     950.000000       0.001079       0.000287      -0.000012       7.310794      -0.002030      -3.175440
    1000.000000       0.001079       0.000290      -0.000017       7.364950      -0.002316      -3.175602
    1050.000000       0.001079       0.000293      -0.000022       7.419112      -0.002620      -3.175754
    1100.000000       0.001079       0.000295      -0.000026       7.473280      -0.002940      -3.175892
    1150.000000       0.001079       0.000296      -0.000030       7.527453      -0.003274      -3.176015
    1200.000000       0.001079       0.000296      -0.000032       7.581631      -0.003621      -3.176123
    1250.000000       0.001079       0.000297      -0.000034       7.635813      -0.003979      -3.176212
    1300.000000       0.001079       0.000297      -0.000035       7.689998      -0.004344      -3.176283
    1350.000000       0.001079       0.000297      -0.000036       7.744185      -0.004717      -3.176334
    1400.000000       0.001079       0.000297      -0.000036       7.798374      -0.005093      -3.176366
    1450.000000       0.001079       0.000297      -0.000037       7.852564      -0.005472      -3.176376
    1500.000000       0.001079       0.000297      -0.000038       7.906754      -0.005850      -3.176367
    1550.000000       0.001079       0.000297      -0.000038       7.960943      -0.006227      -3.176337
    1600.000000       0.001079       0.000297      -0.000039       8.015131      -0.006599      -3.176286
    1650.000000       0.001079       0.000297      -0.000040       8.069315      -0.006966      -3.176217
    1700.000000       0.001079       0.000297      -0.000042       8.123497      -0.007324      -3.176128
    1750.000000       0.001079       0.000296      -0.000044       8.177674      -0.007671      -3.176022
    1800.000000       0.001079       0.000295      -0.000046       8.231846      -0.008006      -3.175899
    1850.000000       0.001079       0.000294      -0.000050       8.286013      -0.008327      -3.175762
    1900.000000       0.001079       0.000292      -0.000054       8.340175      -0.008632      -3.175611
    1950.000000       0.001079       0.000289      -0.000059       8.394330      -0.008920      -3.175449
    2000.000000       0.001079       0.000285      -0.000065       8.448479      -0.009190      -3.175277
    2050.000000       0.001079       0.000279      -0.000073       8.502620      -0.009441      -3.175097
    2100.000000       0.001079       0.000273      -0.000081       8.556755      -0.009672      -3.174911
    2150.000000       0.001079       0.000265      -0.000089       8.610884      -0.009885      -3.174721
    2200.000000       0.001079       0.000256      -0.000099       8.665004      -0.010077      -3.174529
    2250.000000       0.001079       0.000246      -0.000108       8.719116      -0.010249      -3.174338
    2300.000000       0.001079       0.000234      -0.000118       8.773220      -0.010401      -3.174150
    2350.000000       0.001079       0.000221      -0.000127       8.827316      -0.010532      -3.173968
    2400.000000       0.001079       0.000206      -0.000137       8.881404      -0.010644      -3.173793
    2450.000000       0.001079       0.000190      -0.000146       8.935485      -0.010738      -3.173629
    2500.000000       0.001079       0.000173      -0.000154       8.989559      -0.010814      -3.173476
    2550.000000       0.001079       0.000154      -0.000163       9.043627      -0.010874      -3.173336
    2600.000000       0.001079       0.000134      -0.000170       9.097689      -0.010920      -3.173211
    2650.000000       0.001079       0.000113      -0.000176       9.151746      -0.010954      -3.173103
    2700.000000       0.001079       0.000091      -0.000182       9.205800      -0.010977      -3.173013
    2750.000000       0.001079       0.000068      -0.000187       9.259850      -0.010991      -3.172941
    2800.000000       0.001079       0.000044      -0.000190       9.313897      -0.010998      -3.172889
    2850.000000       0.001079       0.000020      -0.000192       9.367943      -0.011001      -3.172857
    2900.000000       0.001079      -0.000004      -0.000193       9.421987      -0.011001      -3.172845
    2950.000000       0.001079      -0.000028      -0.000192       9.476032      -0.011002      -3.172854
    3000.000000       0.001079      -0.000052      -0.000190       9.530077      -0.011004      -3.172884
    3050.000000       0.001079      -0.000076      -0.000187       9.584123      -0.011011      -3.172935
    3100.000000       0.001079      -0.000098      -0.000183       9.638172      -0.011024      -3.173006
    3150.000000       0.001079      -0.000120      -0.000177       9.692224      -0.011046      -3.173096
    3200.000000       0.001079      -0.000141      -0.000171       9.746281      -0.011079      -3.173203
    3250.000000       0.001079      -0.000161      -0.000163       9.800342      -0.011124      -3.173327
    3300.000000       0.001079      -0.000180      -0.000155       9.854408      -0.011184      -3.173467
    3350.000000       0.001079      -0.000198      -0.000147       9.908481      -0.011259      -3.173619
    3400.000000       0.001079      -0.000214      -0.000138       9.962561      -0.011351      -3.173784
    3450.000000       0.001079      -0.000228      -0.000128      10.016648      -0.011461      -3.173957
    3500.000000       0.001079      -0.000242      -0.000119      10.070742      -0.011590      -3.174139
    3550.000000       0.001079      -0.000253      -0.000109      10.124843      -0.011739      -3.174326
    3600.000000       0.001079      -0.000264      -0.000100      10.178953      -0.011909      -3.174516
    3650.000000       0.001079      -0.000273      -0.000091      10.233071      -0.012099      -3.174708
    3700.000000       0.001079      -0.000280      -0.000083      10.287197      -0.012309      -3.174898
    3750.000000       0.001079      -0.000287      -0.000075      10.341331      -0.012541      -3.175086
    3800.000000       0.001079      -0.000292      -0.000068      10.395472      -0.012792      -3.175268
    3850.000000       0.001079      -0.000296      -0.000061      10.449620      -0.013062      -3.175442
    3900.000000       0.001079      -0.000299      -0.000056      10.503775      -0.013350      -3.175606
    3950.000000       0.001079      -0.000301      -0.000052      10.557936      -0.013655      -3.175759
    4000.000000       0.001079      -0.000302      -0.000048      10.612103      -0.013975      -3.175899
    4050.000000       0.001079      -0.000303      -0.000045      10.666275      -0.014310      -3.176024
    4100.000000       0.001079      -0.000304      -0.000043      10.720452      -0.014658      -3.176132
    4150.000000       0.001079      -0.000304      -0.000042      10.774633      -0.015016      -3.176223
    4200.000000       0.001079      -0.000304      -0.000041      10.828818      -0.015383      -3.176295
    4250.000000       0.001079      -0.000304      -0.000041      10.883005      -0.015757      -3.176347
    4300.000000       0.001079      -0.000304      -0.000041      10.937194      -0.016136      -3.176380
    4350.000000       0.001079      -0.000304      -0.000041      10.991385      -0.016517      -3.176392
    4400.000000       0.001079      -0.000304      -0.000040      11.045576      -0.016899      -3.176383
    4450.000000       0.001079      -0.000304      -0.000040      11.099767      -0.017278      -3.176354
    4500.000000       0.001079      -0.000304      -0.000039      11.153957      -0.017654      -3.176304
    4550.000000       0.001079      -0.000304      -0.000037      11.208145      -0.018023      -3.176235
    4600.000000       0.001079      -0.000303      -0.000035      11.262330      -0.018384      -3.176146
    4650.000000       0.001079      -0.000303      -0.000032      11.316511      -0.018735      -3.176040
    4700.000000       0.001079      -0.000301      -0.000029      11.370688      -0.019075      -3.175917
    4750.000000       0.001079      -0.000300      -0.000025      11.424859      -0.019401      -3.175778
    4800.000000       0.001079      -0.000298      -0.000020      11.479024      -0.019712      -3.175625
    4850.000000       0.001079      -0.000295      -0.000015      11.533182      -0.020006      -3.175461
    4900.000000       0.001079      -0.000292      -0.000010      11.587333      -0.020282      -3.175286
    4950.000000       0.001079      -0.000287      -0.000003      11.641476      -0.020538      -3.175103
    5000.000000       0.001079      -0.000282       0.000004      11.695611      -0.020774      -3.174915
    5050.000000       0.001079      -0.000275       0.000012      11.749738      -0.020989      -3.174723
    5100.000000       0.001079      -0.000267       0.000020      11.803856      -0.021183      -3.174531
    5150.000000       0.001079      -0.000258       0.000029      11.857967      -0.021357      -3.174339
    5200.000000       0.001079      -0.000247       0.000038      11.912069      -0.021509      -3.174152
    5250.000000       0.001079      -0.000234       0.000047      11.966163      -0.021641      -3.173970
    5300.000000       0.001079      -0.000221       0.000056      12.020249      -0.021753      -3.173796
    5350.000000       0.001079      -0.000206       0.000064      12.074327      -0.021847      -3.173632
    5400.000000       0.001079      -0.000189       0.000073      12.128398      -0.021923      -3.173480
    5450.000000       0.001079      -0.000172       0.000080      12.182463      -0.021983      -3.173341
